Date,ADI,AMD,ASML,AVGO,INTC,KLAC,LRCX,MCHP,MRVL,MU,NVDA,NXPI,QCOM,TSM,TXN
2018-01-01 00:00:00,83.07051849,13.73999977,192.2546539,203.8313141,41.40593719,99.65329742,175.719574,43.95944977,22.40185356,43.1905632,60.81967926,112.4521408,58.97319794,38.97254944,95.29386902
2018-02-01 00:00:00,81.50640106,12.10999966,185.0839233,202.5410919,42.39506531,102.838913,176.0314941,41.05558777,22.55549049,48.21892166,59.87943649,116.5083313,56.16494751,37.28668594,94.66794586
2018-03-01 00:00:00,82.39245605,10.05000019,188.086731,193.6573792,45.09869003,99.49962616,186.3992462,42.36178207,20.1645546,51.50858688,57.3392334,109.3492279,48.28939056,37.63933563,90.77113342
2018-04-01 00:00:00,79.38575745,10.88000011,178.509964,191.3002319,44.70036316,92.86388397,170.2208405,38.79145813,19.31612587,45.42318726,55.68285751,98.04044342,44.45481873,33.07204437,88.62177277
2018-05-01 00:00:00,88.31949615,13.72999954,187.9274292,210.1867523,47.80046463,103.3514709,182.2887573,45.15313339,20.74124336,56.89260101,62.43956757,106.5453949,50.65113449,33.28707123,97.77838898
2018-06-01 00:00:00,87.17435455,14.98999977,189.1888733,202.3236237,43.29483414,94.22119141,158.9898834,42.3367157,20.64495659,51.80495834,58.69020081,102.1247025,49.41916275,31.44639969,96.90795135
2018-07-01 00:00:00,87.78702545,18.32999992,204.5078278,187.4010925,41.89260864,107.9045258,176.3013,43.49115753,20.51977539,52.15072632,60.66223145,89.10560608,56.43751526,36.74239731,97.84848022
2018-08-01 00:00:00,90.26158142,25.17000008,195.9548187,185.0857697,42.18001175,106.7926025,160.0712738,40.04648972,19.96927834,51.88399506,69.53635406,87.04946136,60.50589371,38.87330246,99.34477234
2018-09-01 00:00:00,84.83325958,30.88999939,179.6802063,208.4929504,41.43761444,94.0750885,140.2901154,36.89395523,18.63670921,44.68226624,69.65868378,79.90904999,63.42948532,39.37260056,94.82830811
2018-10-01 00:00:00,76.80503082,18.20999908,164.7148132,190.2725067,41.07835388,84.66851044,131.9803925,30.7550869,15.84603024,37.26321411,52.26012802,70.27373505,55.88508224,33.96955109,82.04785156
